time,user,post,dist
1245966166,332346,714,0
1245966217,266353,714,2
1245966220,234047,714,1
1245966232,16255,714,1
1245966242,212449,714,1
1245966253,233093,714,1
1245966264,199866,714,4
1245966278,161333,714,1
1245966280,83538,714,3
1245966286,242159,714,1
1245966288,254792,714,3
1245966295,274161,714,3
1245966297,119685,714,3
1245966301,57284,714,2
1245966303,180596,714,100
1245966315,94387,714,2
1245966323,213094,714,2
1245966326,133378,714,2
1245966341,283749,714,3
1245966347,89671,714,2
1245966354,15347,714,100
1245966363,307327,714,3
1245966364,257373,714,2
1245966367,78715,714,3
1245966368,314190,714,2
1245966371,155138,714,3
1245966378,283714,714,3
1245966383,212945,714,3
1245966384,82483,714,3
1245966390,8818,714,2
1245966391,325823,714,3
1245966402,302110,714,1
1245966402,90015,714,1
1245966403,256185,714,3
1245966405,169069,714,100
1245966420,134789,714,2
1245966421,188222,714,2
1245966432,204556,714,3
1245966434,129511,714,1
1245966436,300630,714,2
1245966438,35173,714,4
1245966443,274235,714,100
1245966443,230313,714,100
1245966449,90896,714,4
1245966459,215489,714,3
1245966460,46250,714,2
1245966466,322700,714,3
1245966467,76782,714,3
1245966469,17451,714,4
1245966471,277316,714,3
1245966480,278835,714,3
1245966491,274969,714,3
1245966493,94615,714,2
1245966495,53944,714,3
1245966496,32158,714,3
1245966499,264171,714,3
1245966500,147375,714,2
1245966507,264158,714,3
1245966508,50137,714,2
1245966517,52615,714,3
1245966530,34128,714,2
1245966533,143008,714,100
1245966536,67371,714,3
1245966536,111547,714,100
1245966539,291365,714,2
1245966544,202320,714,100
1245966554,66341,714,3
1245966557,285204,714,3
1245966566,292258,714,1
1245966568,188408,714,100
1245966570,148786,714,2
1245966571,284195,714,2
1245966571,280812,714,2
1245966578,56297,714,2
1245966584,146748,714,2
1245966592,13731,714,3
1245966594,220739,714,3
1245966596,268983,714,100
1245966598,314203,714,2
1245966600,35478,714,1
1245966601,292089,714,3
1245966605,32232,714,100
1245966607,186825,714,2
1245966608,176805,714,3
1245966619,217459,714,100
1245966621,227097,714,3
1245966622,121695,714,100
1245966625,209309,714,2
1245966628,273844,714,2
1245966629,132439,714,1
1245966629,40242,714,2
1245966630,26864,714,100
1245966630,269605,714,100
1245966637,150202,714,3
1245966640,32289,714,100
1245966642,320853,714,3
1245966646,57299,714,1
1245966646,133027,714,3
1245966646,18883,714,100
1245966648,250315,714,3
1245966649,299210,714,3
1245966661,265942,714,100
1245966662,274304,714,4
1245966663,165466,714,4
1245966664,307201,714,1
1245966665,206564,714,4
1245966672,168642,714,100
1245966673,46653,714,4
1245966675,3735,714,100
1245966676,126976,714,2
1245966680,97562,714,3
1245966681,160105,714,100
1245966685,291850,714,2
1245966692,120397,714,3
1245966697,26780,714,4
1245966698,310354,714,1
1245966699,323695,714,1
1245966714,96799,714,1
1245966716,32452,714,100
1245966716,246247,714,3
1245966720,245481,714,100
1245966721,151722,714,3
1245966724,237262,714,100
1245966727,321338,714,3
1245966730,14525,714,4
1245966733,108786,714,100
1245966734,307948,714,2
1245966737,51558,714,1
1245966739,48639,714,3
1245966739,103354,714,1
1245966744,192636,714,4
1245966747,145703,714,2
1245966749,195224,714,1
1245966749,123927,714,3
1245966752,67573,714,3
1245966757,128200,714,1
1245966761,303929,714,3
1245966763,84817,714,4
1245966767,258148,714,3
1245966773,90439,714,2
1245966775,282796,714,100
1245966776,317546,714,100
1245966776,209088,714,4
1245966780,222819,714,100
1245966782,152009,714,3
1245966785,163067,714,100
1245966789,53702,714,3
1245966789,189001,714,3
1245966791,212144,714,1
1245966791,26880,714,100
1245966793,60807,714,3
1245966798,203658,714,100
1245966798,300544,714,100
1245966799,130091,714,4
1245966802,30461,714,100
1245966803,19469,714,4
1245966803,42190,714,3
1245966804,205671,714,3
1245966811,24271,714,3
1245966815,191175,714,2
1245966820,331325,714,3
1245966826,153159,714,100
1245966827,51900,714,2
1245966830,24359,714,3
1245966831,148318,714,3
1245966832,254191,714,100
1245966843,214423,714,4
1245966851,226301,714,2
1245966857,185935,714,3
1245966861,49322,714,3
1245966862,129774,714,100
1245966866,26092,714,3
1245966872,313667,714,1
1245966872,210473,714,3
1245966875,273761,714,2
1245966877,141622,714,3
1245966880,34656,714,4
1245966882,297464,714,3
1245966886,291384,714,3
1245966892,246039,714,3
1245966895,250845,714,100
1245966902,269989,714,3
1245966902,40822,714,3
1245966902,101035,714,1
1245966906,55091,714,100
1245966912,251407,714,3
1245966913,40843,714,3
1245966915,12612,714,100
1245966916,198350,714,100
1245966920,7275,714,3
1245966921,299620,714,2
1245966922,57570,714,100
1245966923,328991,714,100
1245966924,166037,714,4
1245966939,218376,714,3
1245966944,36812,714,100
1245966947,243110,714,3
1245966949,15405,714,4
1245966951,43782,714,100
1245966962,112189,714,4
1245966963,291970,714,1
1245966969,276087,714,2
1245966971,295329,714,100
1245966975,48147,714,6
1245966980,280678,714,2
1245966981,324202,714,3
1245966982,171648,714,4
1245966983,224045,714,3
1245966986,57311,714,1
1245966994,229781,714,3
1245966994,215493,714,1
1245966995,315943,714,100
